iter	Passed	Remaining
913	8596	808
914	8610	799
915	8621	790
916	8630	781
917	8639	771
918	8648	762
919	8657	752
920	8667	743
921	8677	734
922	8689	724
923	8698	715
924	8707	705
925	8717	696
926	8725	687
927	8733	677
928	8741	668
929	8751	658
930	8759	649
931	8768	639
932	8776	630
933	8786	620
934	8796	611
935	8805	602
936	8814	592
937	8823	583
938	8832	573
939	8840	564
940	8849	554
941	8857	545
942	8867	535
943	8875	526
944	8886	517
945	8895	507
946	8904	498
947	8914	488
948	8922	479
949	8931	470
950	8939	460
951	8948	451
952	8957	441
953	8966	432
954	8974	422
955	8983	413
956	8992	404
957	9003	394
958	9012	385
959	9021	375
960	9029	366
961	9037	356
962	9046	347
963	9054	338
964	9063	328
965	9074	319
966	9083	309
967	9093	300
968	9103	291
969	9113	281
970	9122	272
971	9130	263
972	9139	253
973	9148	244
974	9158	234
975	9166	225
976	9176	216
977	9184	206
978	9194	197
979	9202	187
980	9213	178
981	9222	169
982	9232	159
983	9241	150
984	9249	140
985	9258	131
986	9267	122
987	9275	112
988	9284	103
989	9292	93
990	9302	84
991	9313	75
992	9322	65
993	9330	56
994	9339	46
995	9350	37
996	9359	28
997	9368	18
998	9376	9
999	9385	0
